sent,identifier,headline,param_awareness_level,param_awareness_type,standardized_type,weather_pattern,headline_category
2021-09-12 22:06:29+00:00,2.49.0.1.372.0.210912220629.800558, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-13 04:30:50+00:00,2.49.0.1.372.0.210913043050.383562, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-13 15:08:59+00:00,2.49.0.1.372.0.210913150859.626734, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-29 18:33:31+00:00,2.49.0.1.372.0.210929183331.757901, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-29 21:23:29+00:00,2.49.0.1.372.0.210929212329.257246, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-30 04:44:19+00:00,2.49.0.1.372.0.210930044419.377478, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-30 05:35:24+00:00,2.49.0.1.372.0.210930053524.874117, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-30 05:37:13+00:00,2.49.0.1.372.0.210930053713.487841, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-30 08:03:32+00:00,2.49.0.1.372.0.210930080332.165387, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-30 08:05:12+00:00,2.49.0.1.372.0.210930080512.115585, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-30 08:21:21+00:00,2.49.0.1.372.0.210930082121.106655, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-09-30 11:37:20+00:00,2.49.0.1.372.0.210930113720.480437, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-04 14:35:45+00:00,2.49.0.1.372.0.211004143545.409739, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-04 16:15:55+00:00,2.49.0.1.372.0.211004161555.693726, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-04 22:03:41+00:00,2.49.0.1.372.0.211004220341.648062, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 13:36:54+00:00,2.49.0.1.372.0.211006133654.673194, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 17:31:54+00:00,2.49.0.1.372.0.211006173154.340502, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 18:10:42+00:00,2.49.0.1.372.0.211006181042.436433, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 18:14:22+00:00,2.49.0.1.372.0.211006181422.136060, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 18:25:10+00:00,2.49.0.1.372.0.211006182510.703620, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 18:27:46+00:00,2.49.0.1.372.0.211006182746.009359, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 18:32:30+00:00,2.49.0.1.372.0.211006183230.314957, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 18:35:47+00:00,2.49.0.1.372.0.211006183547.676103, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 18:39:02+00:00,2.49.0.1.372.0.211006183902.740617, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-06 21:56:40+00:00,2.49.0.1.372.0.211006215640.250832, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-07 04:05:43+00:00,2.49.0.1.372.0.211007040543.664899, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-07 10:40:46+00:00,2.49.0.1.372.0.211007104046.356607, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-07 16:13:03+00:00,2.49.0.1.372.0.211007161303.831193, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-07 22:01:31+00:00,2.49.0.1.372.0.211007220131.758414, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 04:06:10+00:00,2.49.0.1.372.0.211008040610.057099, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 05:15:28+00:00,2.49.0.1.372.0.211008051528.345031, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 10:15:33+00:00,2.49.0.1.372.0.211008101533.627530, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 14:55:51+00:00,2.49.0.1.372.0.211008145551.374824, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 15:00:02+00:00,2.49.0.1.372.0.211008150002.640441, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 15:09:25+00:00,2.49.0.1.372.0.211008150925.036486, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
