id,name,irish_name,county,country,type
17996,Cuilbeg,,Mayo,Republic of Ireland,Townland
17997,Cuilbeg,,Roscommon,Republic of Ireland,Townland
17998,Cuilbeg,,Sligo,Republic of Ireland,Townland
17999,Cuilcagh,Cuilceach,Cavan,Republic of Ireland,Townland
18000,Cuildoo,An Choill Dubh,Mayo,Republic of Ireland,Townland
18001,Cuildooish,Coill Dubhais,Galway,Republic of Ireland,Townland
18002,Cuilfadda And Derrinshin,,Roscommon,Republic of Ireland,Townland
18003,Cuilgar,,Mayo,Republic of Ireland,Townland
18004,Cuilglass,,Roscommon,Republic of Ireland,Townland
18005,Cuilkeel,,Roscommon,Republic of Ireland,Townland
18006,Cuilkillew,Coill na Cilleadh,Mayo,Republic of Ireland,Townland
18007,Cuillagh,An Choilleach,Leitrim,Republic of Ireland,Townland
18008,Cuillaghan,Coilleachán,Cavan,Republic of Ireland,Townland
18009,Cuillalea,An Choillidh Léith,Mayo,Republic of Ireland,Townland
18010,Cuillaloughaun,Coill an Locháin,Mayo,Republic of Ireland,Townland
18011,Cuillard,An Choill Ard,Roscommon,Republic of Ireland,Townland
18012,Cuillare,,Mayo,Republic of Ireland,Townland
18013,Cuillatinny,Coill an tSionnaigh,Mayo,Republic of Ireland,Townland
18014,Cuillaun,An Coilleán,Mayo,Republic of Ireland,Townland
18015,Cuillawinnia,,Roscommon,Republic of Ireland,Townland
18016,Cuilleen,An Coillín,Galway,Republic of Ireland,Townland
18017,Cuilleen,An Coillín,Galway,Republic of Ireland,Townland
18018,Cuilleen,An Coillín,Mayo,Republic of Ireland,Townland
18019,Cuilleen,,Roscommon,Republic of Ireland,Townland
18020,Cuilleen,,Roscommon,Republic of Ireland,Townland
18021,Cuilleendaeagh,Coillín Dá Fhiach,Galway,Republic of Ireland,Townland
18022,Cuilleenirwan,,Roscommon,Republic of Ireland,Townland
18023,Cuilleenoolagh,,Roscommon,Republic of Ireland,Townland
18024,Cuillenstown,Baile Mhic Cuillin,Louth,Republic of Ireland,Townland
18025,Cuillonaghtan,,Mayo,Republic of Ireland,Townland
18026,Cuilly,,Donegal,Republic of Ireland,Townland
18027,Cuilmore,An Choill Mhór,Galway,Republic of Ireland,Townland
18028,Cuilmore,An Choill Mhór,Galway,Republic of Ireland,Townland
18029,Cuilmore,An Choill Mhór,Leitrim,Republic of Ireland,Townland
18030,Cuilmore,An Choill Mhór,Mayo,Republic of Ireland,Town/Village
18031,Cuilmore,,Roscommon,Republic of Ireland,Townland
18032,Cuilmore,,Roscommon,Republic of Ireland,Townland
18033,Cuilmore,,Roscommon,Republic of Ireland,Townland
18034,Cuilmore,,Roscommon,Republic of Ireland,Townland
18035,Cuilmore,,Sligo,Republic of Ireland,Townland
18036,Cuilmullagh,Coill Mhullach,Mayo,Republic of Ireland,Townland
18037,Cuilnacappy,Coill na Ceapaí,Galway,Republic of Ireland,Townland
18038,Cuilnagleragh,,Sligo,Republic of Ireland,Townland
18039,Cuilnakeava,,Roscommon,Republic of Ireland,Townland
18040,Cuilprughlish,,Sligo,Republic of Ireland,Townland
18041,Cuilrevagh,,Roscommon,Republic of Ireland,Townland
18042,Cuilsallagh,An Choill Salach,Galway,Republic of Ireland,Townland
18043,Cuilsheeghary Beg,,Sligo,Republic of Ireland,Townland
18044,Cuilsheeghary More,,Sligo,Republic of Ireland,Townland
18045,Cuiltaboolia,,Roscommon,Republic of Ireland,Townland
18046,Cuiltia,Na Coillte,Leitrim,Republic of Ireland,Townland
18047,Cuilties,Na Coillte,Leitrim,Republic of Ireland,Townland
18048,Cuiltrasna,Coill Trasna,Mayo,Republic of Ireland,Townland
18049,Cuiltrean,Coill Tréin,Mayo,Republic of Ireland,Townland
18050,Cuiltybo,Coillte Bó,Mayo,Republic of Ireland,Townland
18051,Cuiltyboe,Coillte Bó,Roscommon,Republic of Ireland,Townland
18052,Cuiltyconeen,,Roscommon,Republic of Ireland,Townland
18053,Cuiltyconway,,Roscommon,Republic of Ireland,Townland
18054,Cuiltycreaghan,Coillte Críocháin,Mayo,Republic of Ireland,Townland
18055,Cuiltydangan,,Sligo,Republic of Ireland,Townland
18056,Cuiltygower,Coillte Gabhar,Roscommon,Republic of Ireland,Townland
18057,Cuiltylough,,Sligo,Republic of Ireland,Townland
18058,Cuiltyshinnoge,,Roscommon,Republic of Ireland,Townland
18059,Cuingareen,Coingirín,Longford,Republic of Ireland,Townland
18060,Cuing Beg,,Mayo,Republic of Ireland,Townland
18061,Cuing More,,Mayo,Republic of Ireland,Townland
18062,Culcommon,,Meath,Republic of Ireland,Townland
18063,Culcor,,Meath,Republic of Ireland,Townland
18064,Culdaff,Cúil Dabhcha,Donegal,Republic of Ireland,Town/Village
18065,Culdaff Glebe,,Donegal,Republic of Ireland,Townland
18066,Culdaloo,Coill Fhiodh Dubh,Monaghan,Republic of Ireland,Townland
18067,Culdaly,,Sligo,Republic of Ireland,Townland
18068,Culfadda,Coill Fhada,Sligo,Republic of Ireland,Town/Village
18069,Culfin,Cúil Finn,Galway,Republic of Ireland,Townland
18070,Culfore,Cúil Fobhair,Louth,Republic of Ireland,Townland
18071,Culineen,,Donegal,Republic of Ireland,Townland
18072,Culkeen,,Roscommon,Republic of Ireland,Townland
18073,Culkeeny,Cúil Chaonaigh,Donegal,Republic of Ireland,Town/Village
18074,Cull,,Wexford,Republic of Ireland,Townland
18075,Cullaboy Lower,,Cavan,Republic of Ireland,Townland
18076,Cullaboy Upper,,Cavan,Republic of Ireland,Townland
18077,Cullagh,,Mayo,Republic of Ireland,Townland
18078,Cullagh,An Choilleach,Tipperary,Republic of Ireland,Townland
18079,Cullagh Beg,,Sligo,Republic of Ireland,Townland
18080,Cullagh More,,Sligo,Republic of Ireland,Townland
18081,Cullaghreeva,,Kildare,Republic of Ireland,Townland
18082,Cullahill,An Chúlchoill,Laois,Republic of Ireland,Town/Village
18083,Cullahill,An Chúlchoill,Tipperary,Republic of Ireland,Townland
18084,Cullahill,An Chúlchoill,Tipperary,Republic of Ireland,Townland
